OBJECTID_1,KOD_OBEC,NAZ_OBEC,KOD_ORP,NAZ_ORP,NAZ_LAU1,Kód_obce,Obec,Kód_SO_ORP,SO_ORP,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,F2023,ObjectID,Shape__Area,Shape__Length
1,584223,Zbýšov,6214,Rosice,Brno-venkov,584223,Zbýšov,6214,Rosice,45,46,50,36,41,47,37,45,41,37,34,48,53,29,141,6011999.83135986,12007.5210299237
2,506699,Otmarov,6221,Židlochovice,Brno-venkov,506699,Otmarov,6221,Židlochovice,6,1,6,5,5,8,2,7,6,3,6,4,4,2,1,1252043.30151367,5894.11712818834
3,583821,Řícmanice,6216,Šlapanice,Brno-venkov,583821,Řícmanice,6216,Šlapanice,16,7,7,5,7,10,10,8,11,8,4,9,5,5,111,1496338.934021,6466.81210571179
4,584207,Zastávka,6214,Rosice,Brno-venkov,584207,Zastávka,6214,Rosice,34,30,43,39,25,23,47,24,30,38,22,32,34,17,139,1195003.41101074,6686.86248022037
5,549738,Ponětovice,6216,Šlapanice,Brno-venkov,549738,Ponětovice,6216,Šlapanice,9,-,8,7,1,5,4,5,2,8,4,6,5,2,2,2409859.49145508,6733.7344289372
6,582921,Česká,6209,Kuřim,Brno-venkov,582921,Česká,6209,Kuřim,8,5,7,9,6,12,10,14,6,9,8,6,3,6,39,1993406.21557617,7474.5954206554
7,583499,Nesvačilka,6221,Židlochovice,Brno-venkov,583499,Nesvačilka,6221,Židlochovice,5,1,4,5,4,4,8,9,3,4,3,,8,2,85,2696723.64324951,7489.27733202173
8,549789,Říčky,6214,Rosice,Brno-venkov,549789,Říčky,6214,Rosice,5,2,4,2,6,6,-,4,5,7,12,5,3,3,4,2591288.28936768,7532.22290850398
9,582999,Hajany,6216,Šlapanice,Brno-venkov,582999,Hajany,6216,Šlapanice,4,7,4,9,4,8,6,9,12,13,11,11,10,12,45,2355249.20654297,7907.13336481538
10,583235,Kratochvilka,6214,Rosice,Brno-venkov,583235,Kratochvilka,6214,Rosice,4,3,4,5,3,5,5,2,4,6,5,6,8,3,62,1504726.26385498,8002.46815402982
11,584096,Velatice,6216,Šlapanice,Brno-venkov,584096,Velatice,6216,Šlapanice,4,8,11,1,7,12,5,13,13,4,8,6,9,6,130,2263045.34576416,8412.43687739814
12,584134,Vohančice,6217,Tišnov,Brno-venkov,584134,Vohančice,6217,Tišnov,2,-,2,3,3,2,2,2,3,3,,2,1,1,134,3391626.06121826,8995.29476558785
13,583791,Rozdrojovice,6209,Kuřim,Brno-venkov,583791,Rozdrojovice,6209,Kuřim,12,8,9,11,8,7,7,11,11,13,6,6,8,7,109,2828032.54205322,9076.44341508508
14,583651,Popovice,6221,Židlochovice,Brno-venkov,583651,Popovice,6221,Židlochovice,4,5,3,6,,1,4,6,1,4,5,2,4,4,95,2616407.2467041,9089.9882708653
15,593699,Zbýšov,6215,Slavkov u Brna,Vyškov,593699,Zbýšov,6215,Slavkov u Brna,5,8,8,7,7,6,4,12,8,8,9,7,7,8,184,4793911.92718506,9216.1404916538
16,582891,Březina (dříve okres Tišnov),6217,Tišnov,Brno-venkov,582891,Březina,6217,Tišnov,,-,1,,2,1,4,4,3,4,5,4,,1,37,3194643.43450928,9224.71656515692
17,583014,Heroltice,6217,Tišnov,Brno-venkov,583014,Heroltice,6217,Tišnov,,5,2,1,2,1,4,3,1,,3,3,2,1,46,3419195.16882324,9323.68480032533
18,583685,Prace,6216,Šlapanice,Brno-venkov,583685,Prace,6216,Šlapanice,5,14,11,17,13,16,18,12,13,8,9,11,11,7,98,4707069.20965576,9535.70150417098
19,550795,Podbřežice,6219,Vyškov,Vyškov,550795,Podbřežice,6219,Vyškov,5,7,1,4,2,2,4,3,4,2,6,4,1,1,7,3533119.77398682,9572.93419376226
20,583227,Kovalovice,6216,Šlapanice,Brno-venkov,583227,Kovalovice,6216,Šlapanice,6,3,7,7,9,14,5,9,7,12,3,12,9,4,61,4710716.52038574,9854.79560267574
21,583456,Nebovidy,6216,Šlapanice,Brno-venkov,583456,Nebovidy,6216,Šlapanice,8,7,3,8,8,17,4,10,11,14,9,12,10,6,82,4497017.93945312,10095.6196031829
22,581909,Lažany,6201,Blansko,Blansko,581909,Lažany,6201,Blansko,3,2,7,6,7,4,5,4,5,2,5,1,1,4,21,2595907.71038818,10105.3608304045
23,583774,Rebešovice,6216,Šlapanice,Brno-venkov,583774,Rebešovice,6216,Šlapanice,8,16,11,12,17,9,9,12,13,11,17,11,10,11,107,4110425.73358154,10185.5110453223
24,583472,Němčičky,6208,Ivančice,Brno-venkov,583472,Němčičky,6208,Ivančice,2,2,3,4,6,3,6,3,3,5,,3,4,5,83,4574167.68121338,10295.645503853
25,581445,Bukovina,6201,Blansko,Blansko,581445,Bukovina,6201,Blansko,3,9,2,7,6,3,8,7,6,6,5,8,7,2,14,2728060.23413086,10368.6537841455
26,584177,Vysoké Popovice,6214,Rosice,Brno-venkov,584177,Vysoké Popovice,6214,Rosice,9,8,7,9,5,11,7,6,5,4,8,9,4,3,138,3900117.70568848,10385.3505633568
27,593079,Hrušky,6215,Slavkov u Brna,Vyškov,593079,Hrušky,6215,Slavkov u Brna,12,10,9,10,8,11,5,7,11,4,6,8,2,3,165,5467096.45227051,10399.7684020218
28,582841,Blažovice,6216,Šlapanice,Brno-venkov,582841,Blažovice,6216,Šlapanice,17,13,14,15,14,22,17,13,17,20,11,5,13,8,33,5940524.85174561,10421.3724340721
29,583031,Holasice,6221,Židlochovice,Brno-venkov,583031,Holasice,6221,Židlochovice,15,13,16,12,19,15,10,12,10,13,11,12,17,12,48,3533735.88360596,10454.825765693
30,593052,Hostěrádky-Rešov,6215,Slavkov u Brna,Vyškov,593052,Hostěrádky-Rešov,6215,Slavkov u Brna,7,11,11,9,9,10,9,10,14,8,8,11,4,6,164,4675245.16345215,10537.8246206691
31,584061,Unkovice,6221,Židlochovice,Brno-venkov,584061,Unkovice,6221,Židlochovice,6,4,6,6,9,6,11,12,4,9,5,7,,9,129,3720843.94335938,10554.0768212545
32,583596,Ostopovice,6216,Šlapanice,Brno-venkov,583596,Ostopovice,6216,Šlapanice,16,15,12,17,16,19,25,17,21,21,13,11,12,10,92,3850478.40826416,10749.9582854704
33,583693,Pravlov,6208,Ivančice,Brno-venkov,583693,Pravlov,6208,Ivančice,6,3,5,2,9,5,7,12,7,7,12,7,6,8,99,2910948.1852417,10975.6957586662
34,592994,Dražovice,6205,Bučovice,Vyškov,592994,Dražovice,6205,Bučovice,8,11,10,16,16,5,9,9,11,12,13,14,8,7,160,6397008.75469971,11111.9651935277
35,582247,Ráječko,6201,Blansko,Blansko,582247,Ráječko,6201,Blansko,11,7,23,13,11,18,17,23,13,22,17,15,12,13,24,5015543.79431152,11196.4290960964
36,582298,Rudice,6201,Blansko,Blansko,582298,Rudice,6201,Blansko,9,12,16,11,13,14,10,9,10,10,5,14,6,9,25,4955299.94464111,11258.9887119727
37,593371,Němčany,6215,Slavkov u Brna,Vyškov,593371,Němčany,6215,Slavkov u Brna,8,10,11,12,9,7,7,7,6,7,8,5,9,10,173,7001849.15039062,11390.8756043647
38,582875,Braníškov,6217,Tišnov,Brno-venkov,582875,Braníškov,6217,Tišnov,2,2,2,3,,3,5,,1,2,2,6,1,4,35,3664969.23687744,11416.0343008339
39,593532,Rašovice,6205,Bučovice,Vyškov,593532,Rašovice,6205,Bučovice,10,7,10,8,15,10,11,9,10,7,4,7,10,7,177,5660176.31915283,11426.2657607555
40,583111,Chudčice,6209,Kuřim,Brno-venkov,583111,Chudčice,6209,Kuřim,14,10,9,14,9,11,10,11,10,10,11,6,9,4,53,4101339.99523926,11444.8184818897
41,583294,Lesní Hluboké,6214,Rosice,Brno-venkov,583294,Lesní Hluboké,6214,Rosice,4,1,2,1,3,3,5,,5,6,3,2,2,2,68,4983513.12457275,11456.9156418381
42,584011,Trboušany,6208,Ivančice,Brno-venkov,584011,Trboušany,6208,Ivančice,5,5,6,7,7,2,5,8,3,4,7,2,5,1,125,5533998.4519043,11540.6021148025
43,583090,Hvozdec,6209,Kuřim,Brno-venkov,583090,Hvozdec,6209,Kuřim,3,3,1,2,4,5,3,1,7,6,2,3,3,2,52,3636704.50640869,11548.9693771825
44,584169,Všechovice,6217,Tišnov,Brno-venkov,584169,Všechovice,6217,Tišnov,1,3,3,2,3,1,7,3,3,7,3,1,3,2,137,5090455.59161377,11602.2551624869
45,583511,Nové Bránice,6208,Ivančice,Brno-venkov,583511,Nové Bránice,6208,Ivančice,5,10,6,3,14,11,10,5,12,6,11,5,8,6,86,6213351.53271484,11609.8433782637
46,583243,Kupařovice,6208,Ivančice,Brno-venkov,583243,Kupařovice,6208,Ivančice,2,2,,4,4,2,2,5,3,8,5,9,7,4,63,3306752.23187256,11771.318876562
47,583278,Ledce,6221,Židlochovice,Brno-venkov,583278,Ledce,6221,Židlochovice,5,2,1,1,1,,3,5,4,3,6,1,3,4,66,3641264.55438232,11828.7506062328
48,583448,Moutnice,6221,Židlochovice,Brno-venkov,583448,Moutnice,6221,Židlochovice,11,12,7,22,11,7,13,16,13,19,10,20,8,10,81,7093765.98303223,11859.2702323369
49,593681,Velešovice,6215,Slavkov u Brna,Vyškov,593681,Velešovice,6215,Slavkov u Brna,16,16,12,14,18,13,18,18,12,21,14,11,11,7,183,6584928.46710205,11872.6108177402
50,581780,Krasová,6201,Blansko,Blansko,581780,Krasová,6201,Blansko,2,6,4,5,7,8,5,7,9,7,10,6,10,7,19,4068738.41094971,11950.2324933899
51,584282,Židlochovice,6221,Židlochovice,Brno-venkov,584282,Židlochovice,6221,Židlochovice,39,50,39,44,65,57,43,40,46,55,35,35,39,22,145,5929320.4666748,12007.9621073822
52,593222,Křižanovice,6205,Bučovice,Vyškov,593222,Křižanovice,6205,Bučovice,4,6,8,8,13,6,12,8,6,6,4,10,8,7,169,4793155.25421143,12151.9470948388
53,583065,Hradčany,6217,Tišnov,Brno-venkov,583065,Hradčany,6217,Tišnov,8,6,9,8,4,9,6,6,10,9,6,5,4,5,50,3059679.0880127,12163.1038830549
54,593648,Tučapy,6219,Vyškov,Vyškov,593648,Tučapy,6219,Vyškov,3,4,5,5,5,8,6,7,5,6,13,10,8,4,181,5270477.95825195,12272.0435370214
55,583375,Mělčany,6208,Ivančice,Brno-venkov,583375,Mělčany,6208,Ivančice,8,5,2,6,9,3,4,8,5,7,1,3,6,6,74,7425440.4776001,12286.1088035392
56,583936,Syrovice,6221,Židlochovice,Brno-venkov,583936,Syrovice,6221,Židlochovice,23,29,20,25,24,27,19,34,22,26,19,25,24,19,119,8266129.50714111,12298.9185582524
57,583804,Rudka,6214,Rosice,Brno-venkov,583804,Rudka,6214,Rosice,2,1,1,3,3,6,6,5,4,12,8,4,5,2,110,4139864.15405273,12337.1512440988
58,583219,Kobylnice,6216,Šlapanice,Brno-venkov,583219,Kobylnice,6216,Šlapanice,12,11,14,11,14,15,13,16,13,9,15,10,9,15,60,5093662.8260498,12452.8197129143
59,583766,Rajhradice,6221,Židlochovice,Brno-venkov,583766,Rajhradice,6221,Židlochovice,13,10,20,17,8,17,18,23,20,5,16,14,24,13,106,5448770.00274658,12631.5130755401
60,583740,Radostice,6216,Šlapanice,Brno-venkov,583740,Radostice,6216,Šlapanice,8,9,6,6,9,8,6,13,5,5,7,6,16,5,104,4363266.58337402,12728.4503424613
61,582883,Bratčice,6221,Židlochovice,Brno-venkov,582883,Bratčice,6221,Židlochovice,8,2,9,5,11,7,11,6,18,10,11,12,12,6,36,6161605.4362793,12752.8942795108
62,584126,Viničné Šumice,6216,Šlapanice,Brno-venkov,584126,Viničné Šumice,6216,Šlapanice,27,13,11,18,17,11,18,12,13,19,13,11,16,10,133,4747316.5177002,12953.9220885523
63,582808,Babice u Rosic,6214,Rosice,Brno-venkov,582808,Babice u Rosic,6214,Rosice,9,7,9,4,9,4,10,4,6,5,12,6,9,11,31,5686233.33154297,13108.7384180267
64,583553,Opatovice,6221,Židlochovice,Brno-venkov,583553,Opatovice,6221,Židlochovice,12,21,13,18,12,14,7,13,16,8,17,20,15,7,89,6151716.08416748,13263.0574129798
65,583332,Malešovice,6213,Pohořelice,Brno-venkov,583332,Malešovice,6213,Pohořelice,7,5,9,11,11,13,9,13,10,6,9,7,12,12,70,9204344.18786621,13305.3872276411
66,593168,Komořany,6219,Vyškov,Vyškov,593168,Komořany,6219,Vyškov,4,6,1,4,11,4,5,8,7,5,5,4,7,5,167,5853057.8916626,13311.2617765706
67,582964,Domašov,6214,Rosice,Brno-venkov,582964,Domašov,6214,Rosice,8,7,8,3,3,8,9,7,11,12,6,10,5,6,43,5940226.33081055,13331.3560306964
68,583359,Maršov,6217,Tišnov,Brno-venkov,583359,Maršov,6217,Tišnov,5,2,5,2,6,8,6,9,6,4,9,7,4,6,72,7500492.95941162,13393.0929396222
69,583286,Lelekovice,6209,Kuřim,Brno-venkov,583286,Lelekovice,6209,Kuřim,14,20,23,15,15,15,10,21,21,15,21,15,11,14,67,7287718.83721924,13410.4350579762
70,582913,Čebín,6209,Kuřim,Brno-venkov,582913,Čebín,6209,Kuřim,19,16,18,25,18,18,29,24,18,22,19,17,28,13,38,7232750.74121094,13474.5848630564
71,550825,Holubice,6215,Slavkov u Brna,Vyškov,550825,Holubice,6215,Slavkov u Brna,9,8,12,13,13,23,21,23,28,31,29,30,39,25,8,7386264.28479004,13523.1596931586
72,593435,Nížkovice,6215,Slavkov u Brna,Vyškov,593435,Nížkovice,6215,Slavkov u Brna,10,6,7,9,8,8,11,8,9,11,9,11,15,9,175,7027508.85205078,13543.0796535258
73,583880,Sobotovice,6221,Židlochovice,Brno-venkov,583880,Sobotovice,6221,Židlochovice,6,4,8,6,3,6,9,5,7,8,7,6,6,4,116,5329037.89068604,13574.2625397484
74,583979,Telnice,6216,Šlapanice,Brno-venkov,583979,Telnice,6216,Šlapanice,17,14,19,19,19,25,18,17,27,17,23,11,14,17,121,6102865.92858887,13579.7861202113
75,583189,Jiříkovice,6216,Šlapanice,Brno-venkov,583189,Jiříkovice,6216,Šlapanice,4,15,10,10,14,11,14,6,17,10,6,14,12,7,57,4529631.92352295,13776.8379994798
76,583855,Silůvky,6216,Šlapanice,Brno-venkov,583855,Silůvky,6216,Šlapanice,5,10,7,8,6,8,7,10,11,10,12,7,10,7,114,6000445.26824951,13837.1146253102
77,583481,Neslovice,6208,Ivančice,Brno-venkov,583481,Neslovice,6208,Ivančice,9,8,11,12,6,9,10,9,10,11,13,13,15,12,84,5827510.58343506,13975.6882267901
78,593214,Křenovice,6215,Slavkov u Brna,Vyškov,593214,Křenovice,6215,Slavkov u Brna,24,29,14,13,23,9,31,27,18,18,15,24,21,25,168,8845956.47644043,14143.3202493572
79,593664,Vážany nad Litavou,6215,Slavkov u Brna,Vyškov,593664,Vážany nad Litavou,6215,Slavkov u Brna,8,6,13,9,10,9,11,7,6,12,4,7,11,5,182,7021193.62481689,14257.549506822
80,593478,Otnice,6215,Slavkov u Brna,Vyškov,593478,Otnice,6215,Slavkov u Brna,17,23,15,12,14,12,13,18,14,22,21,12,14,17,176,8701657.11352539,14308.9069629887
81,581569,Habrůvka,6201,Blansko,Blansko,581569,Habrůvka,6201,Blansko,4,8,5,10,3,8,3,8,2,7,2,8,4,3,17,9951397.80352783,14456.4759110815
82,583367,Medlov,6221,Židlochovice,Brno-venkov,583367,Medlov,6221,Židlochovice,8,5,4,8,9,6,12,7,14,15,9,10,10,12,73,10194711.2090454,14581.1936795543
83,593613,Šaratice,6215,Slavkov u Brna,Vyškov,593613,Šaratice,6215,Slavkov u Brna,13,12,9,11,10,21,12,14,14,8,8,15,12,6,180,8249360.32104492,14629.8734367557
84,582930,Čučice,6208,Ivančice,Brno-venkov,582930,Čučice,6208,Ivančice,3,9,4,2,6,5,8,8,4,5,3,3,3,6,40,8191942.67071533,14648.6430252998
85,593044,Hodějice,6215,Slavkov u Brna,Vyškov,593044,Hodějice,6215,Slavkov u Brna,11,5,7,11,14,14,9,17,17,13,17,16,23,10,163,8575672.72607422,14695.9357049069
86,582433,Svinošice,6201,Blansko,Blansko,582433,Svinošice,6201,Blansko,4,3,2,6,3,6,2,1,4,2,5,4,2,4,27,7333326.06152344,14811.6393997021
87,584142,Vojkovice,6221,Židlochovice,Brno-venkov,584142,Vojkovice,6221,Židlochovice,16,13,8,12,17,12,10,8,9,12,14,14,10,10,135,6974994.55126953,14954.0973136431
88,583731,Přísnotice,6221,Židlochovice,Brno-venkov,583731,Přísnotice,6221,Židlochovice,6,5,13,8,6,7,12,11,9,9,10,6,7,2,103,7700822.69470215,14998.9812414012
89,593028,Habrovany,6219,Vyškov,Vyškov,593028,Habrovany,6219,Vyškov,8,10,7,6,12,11,9,15,9,13,5,12,6,8,162,5509490.29229736,15060.9780369002
90,584029,Troubsko,6216,Šlapanice,Brno-venkov,584029,Troubsko,6216,Šlapanice,15,17,21,27,19,30,28,28,24,32,20,26,27,23,126,6010914.76574707,15110.205147382
91,583634,Podolí,6216,Šlapanice,Brno-venkov,583634,Podolí,6216,Šlapanice,13,12,9,18,14,16,16,9,21,18,8,15,10,9,94,6256546.60302734,15206.9732034874
92,582476,Šebrov-Kateřina,6201,Blansko,Blansko,582476,Šebrov-Kateřina,6201,Blansko,10,9,2,10,8,5,6,5,7,14,7,6,1,5,28,10291228.1598511,15208.747153602
93,583863,Sivice,6216,Šlapanice,Brno-venkov,583863,Sivice,6216,Šlapanice,9,14,8,9,9,16,14,10,20,24,13,16,17,14,115,7262724.54162598,15238.8427154855
